,Año,Trim,Prov,Accesx100hog,BandaAncha,BandaAngos,Total,ADSL,Cablemodem,FibraOpt,Wireless,Otros_Tec,MediaMbps,AR1_0.51Mbs,AR2_0.75Mbs,AR3_3.5Mbs,AR4_8Mbs,AR5_15Mbs,AR6_25Mbs,AR7_+30Mbs,Otros_Mbs
0,2022,3,Buenos Aires,78.11,4715469,6199,4721668,339648.0,2748325.0,1436433.0,126846.0,70416.0,70,29985,27709,290315,297915,267044,124190,3618689,65821
1,2022,3,Capital Federal,122.28,1545534,2145,1547679,140791.0,1240125.0,129218.0,5758.0,31787.0,101,517,5742,34371,67829,51946,28692,1253105,105477
2,2022,3,Catamarca,65.33,70292,1,70293,10010.0,10495.0,46224.0,1329.0,2235.0,61,71,384,3107,5389,5099,3737,50298,2208
3,2022,3,Chaco,43.86,144141,5,144146,27164.0,61800.0,44645.0,8178.0,2359.0,53,461,987,16782,18938,8049,15828,79390,3711
4,2022,3,Chubut,84.38,164874,904,165778,45377.0,72212.0,9574.0,29784.0,8831.0,16,109,1444,45707,30940,34682,15309,17563,20024
5,2022,3,Córdoba,88.31,1038600,68,1038668,163770.0,465461.0,338570.0,61070.0,9797.0,56,99,11312,153324,111615,70989,27112,650344,13873
6,2022,3,Corrientes,48.21,144842,4,144846,36508.0,77140.0,18619.0,7256.0,5323.0,45,67,3865,23427,23948,7776,21706,56950,7107
7,2022,3,Entre Ríos,63.67,268937,22,268959,60345.0,132952.0,36971.0,26098.0,12593.0,42,107,5549,47210,46855,18263,32021,102195,16759
8,2022,3,Formosa,43.76,68537,1,68538,14470.0,25880.0,11041.0,16935.0,212.0,30,97,307,23538,19545,6194,564,17704,589
9,2022,3,Jujuy,58.91,118823,0,118823,19257.0,52978.0,40172.0,4033.0,2383.0,32,58,1879,19135,15254,36083,519,45895,0
10,2022,3,La Pampa,96.59,115921,171,116092,7796.0,60078.0,23551.0,20216.0,4451.0,18,68,1887,61540,9653,11592,5609,22731,3012
11,2022,3,La Rioja,80.66,86860,4,86864,6842.0,53899.0,19697.0,6395.0,31.0,44,18,689,2842,3375,24219,5331,50390,0
12,2022,3,Mendoza,51.03,288746,777,289523,37659.0,78858.0,142615.0,27625.0,2766.0,34,103,2953,44232,21977,48201,17243,150043,4771
13,2022,3,Misiones,51.82,182157,0,182157,35513.0,88902.0,39046.0,11074.0,7622.0,49,51,3749,36628,20758,12676,19615,80330,8350
14,2022,3,Neuquén,80.37,162693,468,163161,29352.0,75815.0,29396.0,27482.0,1116.0,48,134,991,38485,14080,9200,6700,78713,14858
